NOM DU LIEU,SOURCE_codes_temp,ADRESSE,TELEPHONE,URL,PUBLICS,TYPOLOGIE,ESPACES PROPOSÉS,DESCRIPTION,IMAGE,MODELE_JURIDIQUE,FABRIQUE_DE_TERRITOIRE,DEPARTEMENT,ÉTAT DE VOTRE TIERS-LIEUX,BAN_latitude,BAN_longitude,BAN_adress,BAN_adress_full,BAN_city,BAN_postcode,BAN_depcode
Casa Feliz,FTL-CAPTL,44B rue du Mans  72300 Sablé-sur-sarthe,06 84 25 76 06,https://www.casafeliz.fr/,Professionnels – Citoyens,O-D-C,1-2-3-5-6-7-9-10-18,Fabrique du mieux-être la Casa Feliz propose un projet innovant où créativité et solidarité contribuent à créer un espace unique pour partager et se ressourcer. Une maison achetée par l'association une dynamique collective incroyable avec ce lieu restauré par 154 bénévoles. Une démarche joyeuse et responsable qui conjugue arts et développement personnel pour : Se ressourcer profiter de temps individuels et collectifs pour se défroisser se détendre prendre soin de soi. Se reconstruire se régénérer retrouver élan vital et dynamisme en puisant dans les propositions des praticiens experts et les diverses activités collectives. Se rencontrer partager un espace convivial contribuer à créer un lieu qui nous correspond avec nos rêves assemblés. https://www.youtube.com/watch?v=PYGjBmnZ6qk,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/casafeliz.png,Association,NON,72,En activité,47.841371,-0.336489,18 Rue Alain de Rouge,18 Rue Alain de Rouge 72300 Sablé-sur-Sarthe,Sablé-sur-Sarthe,72300,undefined
Centre socio-culturel le kiosque,PiNG-CAPTL-FTL,13 Rue de la Cure 85490 Benet,02.51.87.37.76,https://lekiosque.centres-sociaux.fr/,Citoyens,O-D-C,,Le Centre Socioculturel Le Kiosque est un lieu de proximité ouvert à tous  foyer d'initiatives portées par les habitants (ateliers  repair café  friperie  conférences...),,Association,OUI,85,En activité,46.366557,-0.595895,13 Rue de la cure,13 Rue de la cure 85490 Benet,Benet,85490,undefined
LEVEL,FTL-CAPTL,rue Achille Bienvenu 53000 LAVAL,,https://level.coop/,Professionnels – Citoyens,T-O-D-C,,LEVEL est un projet de tiers-lieu ESS à Laval  porté par 4 acteurs du territoire : la SCOP COODEM  la SCOP Titi Floris  l’APESS 53 et APF France Handicap. C'est un espace inclusif et ouvert qui s’oriente autour des thématiques suivantes : l’Economie Sociale et Solidaire  l’Entreprenariat  la Culture  la Formation  le Handicap  l’Agriculture… et bien d’autres ! Le tiers-lieu ouvrira ses portes en 2022.  LEVEL a pour mission de devenir un tiers-lieu polarisateur des structures de l’ESS mayennaises.  Il est imaginé autour de plusieurs pôles d’activités : espace tertiaire (bureaux  coworking  salle de conférence)  espace logistique (ateliers  stockage)  bar et petite restauration  espace loisirs et escalade  espace bien-être  fablab…,,SCIC ou SCOP,OUI,53,En activité,48.076316,-0.751134,Rue Achille Bienvenu,Rue Achille Bienvenu 53000 Laval,Laval,53000,undefined
Bain Public,FTL-CAPTL,24 rue des Halles  44600 Saint-Nazaire,0973160349,https://www.bainpublic.eu/,Professionnels – Citoyens,T-O-D,,Situé dans le site patrimonial des anciens bains-douches de Saint-Nazaire  Bain Public est un lieu dédié à la recherche artistique et citoyenne ainsi qu'un espace de convivialité. Il accueille des équipes artistiques professionnelles à différentes étapes de leur création et propose un accompagnement sur-mesure. L’équipe fait le choix d’une ligne artistique qui explore nos enjeux contemporains pour multiplier les regards  mêlant artistes et citoyen.nes  sur des sujets de société.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/image_bain_public.png,Association,NON,44,En activité,47.276429,-2.215839,24 Rue des Halles,24 Rue des Halles 44600 Saint-Nazaire,Saint-Nazaire,44600,undefined
Ensemble au bureau,FTL,466 route de clisson  44120 Vertou,02 40 03 35 95,https://www.ensembleaubureau.com/,Professionnels,T,,Ensemble au Bureau est un espace CoWorking comprenant des bureaux individuels et une salle de réunion ou rendez-vous privés. Vous pouvez louer à l'heure  demi-journée  journée  semaine ... des tarifs dégressifs sont proposés. Accès très facile  stationnement facile et gratuit  restauration possible sur place ou au restaurant au RDC.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/ensembleaubureau.jpg,SARL/SAS/SA,NON,44,En activité,47.18722,-1.481906,466 Route de Clisson,466 Route de Clisson 44120 Vertou,Vertou,44120,undefined
Le Lieu Bêta,FTL,7 avenue de l'Osier 49125,0643244338,http://www.lelieubeta.fr/,Professionnels,T,,Un espace à destination des travailleurs indépendants  créatifs  porteurs de projets  télétravailleurs  étudiants et plus largement de toutes les personnes à la recherche d’un espace de travail flexible et convivial ! Bien plus qu’un simple bureau partagé  le Lieu β propose des formules clés en main adaptées aux besoins des coworkers : un open-space de 15 postes de travail accessible 24h/24 et 7j/7 grâce à une plate-forme de réservation et de paiement en ligne ; ainsi que différents services : salle de réunion  équipement de visio-conférence  phone box  machine à café  presse et documentation à disposition  espace cuisine pour se restaurer  service d’impression…,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/lieubeta.jpg,Collectivité,NON,49,En activité,47.613793,-0.46118,7 Avenue de l'Osier,7 Avenue de l'Osier 49125 Tiercé,Tiercé,49125,undefined
FabLab eMode,PiNG-CAPTL-FTL,20 rue du Carteron 49300 CHOLET,02 41 71 69 33,https://fablab-emode.fr/#!/,Professionnels – Citoyens,T-O-D-C,,Le FabLab eMode est un atelier de fabrication numérique dédié à la Mode  au Textile  au Design et à l’ennoblissement de matière. Ses équipements permettent de travailler sur des matériaux variés tels que textiles  plastique  bois  carton ou vinyle. Des initiations sont proposées régulièrement pour vous rendre autonome sur les différents équipements et logiciels dont vous avez besoin. C'est aussi un lieu d’échange de compétences où les technologies sont au service de votre créativité ! Le FabLab eMode est membre du Réseau Français des Fablabs.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/fablabemode_photo_web.jpg,Association,NON,49,En activité,47.048167,-0.869625,20 Rue du Carteron,20 Rue du Carteron 49300 Cholet,Cholet,49300,undefined
Terre Lieu.x,FTL-CAPTL,36 route du Drouillet 44120 Vertou,06 60 60 62 68,https://www.amicalelaiquevertou.fr,Professionnels – Citoyens,O-D,,Dans le cadre de la reconversion d'un ancien terrain de football  Terre Lieu.x a été créé pour proposer différentes activités agro-écologiques favorisant l'insertion et le lien social : production maraîchère  jardin partagé  apiculture  ateliers et évènements.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/terrelieux.jpg,Autre,NON,44,En activité,47.159705,-1.486857,36 Route du Drouillet,36 Route du Drouillet 44120 Vertou,Vertou,44120,undefined
Le Fare,PiNG-CAPTL-FTL,21 place de l'église - St Sauveur de Landemont  49270 Orée d'Anjou,02 40 98 26 76,https://rivesdeloire.centres-sociaux.fr/,Professionnels – Citoyens,O-D-C,1-7-12-13-17,Lieu ouvert à tous pour développer des activités inter générationnelles et inter disciplinaires  en faisant appel aux savoirs faire  savoir être de chacun. Ainsi  on peut y trouver un fablab  des ateliers cuisine  des ateliers informatiques  un repair café  des ateliers couture...,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/stsauveurlandemont.jpg,Association,NON,49,En activité,47.28447,-1.255702,Place de l'Église (St Sauveur-de-Landemont),Place de l'Église (St Sauveur-de-Landemont) 49270 Orée d'Anjou,Orée d'Anjou,49270,undefined
Le Clos des Saulaies,FTL-CAPTL,1 Le Defay St Aubin-de-Luigné - 49190 Val-du-Layon,06 60 99 88 72,,Professionnels – Citoyens,T-O-D-C,,L’objectif est de créer un lieu d’activité et de vie à la fois dynamique et pérenne  ouvert et en lien avec les activités et acteurs du territoire. Les valeurs partagées sont axées sur l’humain  le partage  l’entraide  le respect de l’environnement et la sobriété. Les cercles de décisions permettent d’impliquer au maximum les habitants et entrepreneurs du lieu dans la gouvernance. Les activités sont multiples : artisanat  pratiques artistiques  production agricole et alimentaire  bien-être  formation. Toutes les personnes impliquées dans ces activités partagent des lieux communs  intérieurs et extérieurs. La vie du lieu s’organise autour d’une salle commune  espace de rencontre  zone de co-working / salon de pause…,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/test-image-ouvrage-1130x650_png.jpg,Association,NON,49,En activité,47.321312,-0.657943,1 le Defay,1 le Defay 49750 Val-du-Layon,Val-du-Layon,49750,undefined
COETHIC,FTL,31 RUE DU LEINSTER 44240 LA CHAPELLE SUR ERDRE,06 36 07 80 99,https://www.coethic.fr,Professionnels – Citoyens,T-D,,Coethic est un lieu inspirant et alternatif favorable au développement d'activités indépendantes singulières.  Ici chacun peut exprimer sa créativité en proposant des ateliers  formations ou conférences dans un format original. Ouvert à toutes et tous  vous trouverez dans ce batiment indépendant de 700m²  des bureaux privés à louer au mois ou à l'heure  un espace de coworking et des salles allant jusqu'à 60m² pour organiser tous vos évènements..,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/coethic.jpg,SARL/SAS/SA,NON,44,En activité,47.279466,-1.551736,31 Rue du Leinster,31 Rue du Leinster 44240 La Chapelle-sur-Erdre,La Chapelle-sur-Erdre,44240,undefined
Le Transistore (ressourcerie),CAPTL,14 rue Képler 44240 La Chapelle sur Erdre,,https://www.letransistore.org/,Professionnels – Citoyens,T-D,,Depuis sa création en 2016  le TransiStore mène des actions en faveur d’une consommation plus responsable.et de la réduction des déchets.Pour préserver les ressources de la planète et offrir une alternative aux objets neufs  l’association propose divers leviers : - une ressourcerie  - un café-ateliers Activités de la ressourcerie : collecte  valorisation et vente d’objets de réemploi  location d’un kit de vaisselle lavable,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/transistore_ressourcerie.png,Association,NON,44,En activité,47.262403,-1.550849,14 Rue Képler,14 Rue Képler 44240 La Chapelle-sur-Erdre,La Chapelle-sur-Erdre,44240,undefined
L'esperluette &,PiNG-CAPTL-FTL,12 rue de la Tonnelle 49400 Saumur,0973570306,https://bit.ly/l-esperluette,Citoyens,T-O-D-C,7-17-18,Tiers Lieu de transition écologique et sociétale co-animé par 2 associations: l'Université Populaire du Saumurois et le Cercle VERTueux,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/esperluette.jpg,Association,NON,49,En activité,47.259511,-0.074687,12 Rue de la Tonnelle,12 Rue de la Tonnelle 49400 Saumur,Saumur,49400,undefined
Tiers-lieu de l'Orangerie,PiNG-CAPTL,lieu-dit de l'Orangerie de Danne  49500 Segré-en-Anjou Bleu,0767789864,www.permacopia.fr/danne,Professionnels – Citoyens,T-O-D-C,4-5-6-7-8-10-12-13-15-17-19,Un tiers-lieu rural plurifonctionnel dédié à la transition écologique et numérique de son territoire qui œuvre pour l’essaimage d’écolieux autonomes. C'est un lieu ressource pour l’habitat léger et mobile  pour les hameaux alentours  pour les projets du territoire. Nous proposons des activités artisanales  de la formation  des événements  de la permaculture  de l'écoconstruction  de l'habitat participatif et des immersions dans un écovillage.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/tiers-lieu_orangerie.jpg,Association,NON,49,En activité,47.691475,-0.754374,Chemin de l'Orangerie de Danne,Chemin de l'Orangerie de Danne 49500 Segré-en-Anjou Bleu,Segré-en-Anjou Bleu,49500,undefined
Les ateliers de la Ville en Bois,PiNG-CAPTL,21 rue de la Ville en Bois 44000 Nantes,0636568190,lesateliersdelavilleenbois.com,Professionnels – Citoyens,T-O-D,3-8-9,À sa création en 2013  l’association La Ville en Bois s’est donnée comme mission de favoriser le développement d’activités culturelles  artistiques et manuelles pluridisciplinaires sur le territoire nantais  en Bretagne  et au delà ; de soutenir la création et d’encourager la professionnalisation des artistes. Installée sur le site d’une friche industrielle et bénéficiant d’un lieu atypique  en plein cœur de Nantes  elle a tout d’abord mis à disposition d’artistes émergents ses espaces aux configurations variables sous la forme d’ateliers partagés. Parallèlement à la vie dans les ateliers  l’association a souhaité ouvrir son lieu aux publics et a organisé la rencontre entre le travail artistique des artistes-résidents ou d’artistes extérieurs sous la forme d’évènements variés.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/ateliers_ville_en_bois.jpg,Association,NON,44,En activité,47.224995,-1.525504,21 Rue de la Ville en Pierre,21 Rue de la Ville en Pierre 44000 Nantes,Nantes,44000,undefined
Notre Eco Fabrique (N.E.F.),PiNG-CAPTL-FTL,53640 MONTREUIL-POULAY,06.98.50.10.18,En cours d'élaboration !,Professionnels – Citoyens,T-O-D-C,2-3-4-6-9-10-11-14-17-18,Le Tiers-Lieu de MONTREUIL-POULAY vise à proposer un espace propice aux activités multiples reposant sur une économie diverse  mais solide. Afin de rompre l’isolement des publics empêchés/éloignés  en amenant une attractivité nouvelle  au cœur du village et en vue de répondre aux besoins de tou(te)s et ce  avec les objectifs suivants :Projet commun de revitalisation du cœur de bourg.Amener de l’activité multiple pour une économie stable dans un lieu attractif  répondant aux enjeux de la transition écologique.Partager du bien vivre-ensemble  du temps et de la convivialité.Dynamiser les espaces de rencontre entre tou(te)s les acteurs/trices locaux.Créer un nouveau lieu d’émergence de la Culture  du Numérique et de l’Éducation.Dans ce lieu de rencontre  les espaces sont pensés pour permettre l’accueil du travail partagé ou d’ateliers partagés. Il doit inviter à la création (résidences d’artistes  projets communs portés par les bénévoles  les coopérant(e)s  …). Il s’agit de proposer des services hybrides tels que des salles de réunions  des boutiques partagées  une épicerie de produits locaux  de la ressourcerie  l’accès à l’éducation culturelle et numérique  des espaces de médiation  (…). « Ainsi  on peut venir ici juste pour boire un verre et plus si affinités : lire un livre ; papoter  jouer  se connecter à internet  manger  se détendre  s'informer  se former; créer  voir un spectacle  penser  se réunir  acheter ses fruits et ses légumes ou juste travailler ».Les activités principalesUn collectif  d'une soixantaine de personnes  porte ce projet innovant  issu de l'Économie Sociale et Solidaire  est d'implanter un Tiers-Lieu au cœur du village de MONTREUIL-POULAY. C'est un espace physique s’adressant à tou(te)s  où l’on trouve de la Culture  la vente des produits locaux et culturels (épicerie  un bistroquet  librairie  ludothèque itinérante  friperie  ...)  de la transmission de faire-savoir et savoir-faire  ainsi que des services de proximité. Le tout doit répondre à la mise en œuvre concrète de la transition écologique  en ayant des fonctions éducatives et les valeurs du bien vivre-ensemble.Proposer des biens et des services de qualité Créer et promouvoir des emplois Participer au développement des activités paysannes  artisanales  thérapeutiques  artistiques (...) Renforcer les circuits de proximité Développer la proposition de produits locaux et de produits en vrac Assurer des services de proximité publics et privés Agir contre la disparition des lieux de convivialité Offrir un espace de diffusion de biens et de services produits dans la proximité géographique Optimiser les coûts énergétiques qu’entraîne l’éloignement des commerces et des services Souci collectif de participer au maintien et au développement du réseau de Tiers-Lieux.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/notre_eco_fabrique.jpg,Association,NON,53,En projet,48.384715,-0.526168,Montreuil-Poulay,Montreuil-Poulay,Montreuil-Poulay,53640,undefined
T(i)erre lieu des transitions,FTL-CAPTL,Château de la Turmelière - Liré 49530 Orée d'Anjou,02 40 09 15 16,https://www.turmeliere.org/,Professionnels – Citoyens,T-O-D-C,1-2-5-6-9-17,Ancré sur une terre marquée par la poésie et l’histoire  terre objet de notre attention environnementale  notre tiers-lieu s'engage pour plusieurs transitions : écologique  sociale  alimentaire  économique  éducative et culturelle. Prenant appui sur le Tourisme Social et Solidaire  socle de notre action depuis plus de 30 ans  nous donnons un nouvel élan à notre collectif : installation d'une ferme en maraîchage bio et élevage de poules  éco-pâturage  actions pour les mobilités douces et en particulier le vélo  bureaux et ateliers partagés  formations  évènements culturels  résidences d'auteur·trice·s  lieu de convivialité ... autant de dynamiques en cours ou à venir pour notre T(i)erre lieu des transitions !,,Association,NON,49,En activité,47.341428,-1.173669,Rue de la Turmelière (Liré),Rue de la Turmelière (Liré) 49530 Orée d'Anjou,Orée d'Anjou,49530,undefined
LE LIEU UTILE,CAPTL,32 rue Pasteur 44340 BOUGUENAIS,06 62 68 98 44,https://lelieuutile.jimdofree.com/,Professionnels – Citoyens,O-D-C,6-11-12-17,Le Lieu Utile accueille une école à pédagogiques actives (40 élèves de 3 à 10 ans)  un atelier culinaire  un atelier  une miellerie  une salle polyvalente…. dans un écrin de verdure exceptionnel classé Refuge LPO et Espace Boisé Classé. C’est un jardin-forêt vivrier qui se développe sur 7000 m2 à Bouguenais. Le lieu est conçu comme un écosystème d’apprentissage solidaire ouvert sur la reconnexion au vivant au quotidien  la préservation écologique et l’intégration de l’arbre et du végétal en ville. Cette oasis ressource permet d’y trouver les clefs d’une agilité créatrice  des moyens d’émancipation et de coopération face aux changements en cours  dans une ambiance apolitique  laïque et ouvert à tout le monde.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/lelieuutile_220922.jpg,Association,NON,44,En activité,47.185573,-1.583317,32 Rue Pasteur,32 Rue Pasteur 44340 Bouguenais,Bouguenais,44340,undefined
Le Trois8,PiNG-CAPTL-FTL,38 rue Jean Jaurès 44403 Rezé,Pas de numéro,letrois8@gmail.com,Professionnels – Citoyens,T-O-D,3-4-6-9-17,Le Trois8 est un lieu de croisement d’activités artistiques et artisanales. C’est un collectif ancré dans le quartier Pont-Rousseau à Rezé. Le projet se base sur trois piliers:   - Je fabrique: Le Trois8 est un atelier collectif  un espace de travail pour les artistes et artisans. Il met à disposition des espaces de travail partagés. - Je transmets  je forme: Le Trois8 développe une programmation de cours et de stages individuels  collectifs tout au long de l’année.  - J’expose  je montre  je partage  je vends: Le Trois8 participe à plusieurs manifestations nationales  locales et invite ponctuellement des artistes à s’approprier le lieu le temps d’une exposition.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/letrois8.jpeg,Association,NON,44,En activité,47.188672,-1.54734,38 Rue Jean Jaurès,38 Rue Jean Jaurès 44400 Rezé,Rezé,44400,undefined
Madeleine,FTL,7 rue Pélisson 44000 Nantes,-,https://icilundi.fr/lieux/madeleine/,Professionnels – Citoyens,T,1-2-6-7-18,Madeleine est un tiers-lieu hybride en plein cœur du quartier des Olivettes où se mêlent sans distinction espace de coworking et un coffee shop.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/Madeleine.jpg,SARL/SAS/SA,NON,44,En activité,47.212374,-1.551272,7 Rue Pélisson,7 Rue Pélisson 44000 Nantes,Nantes,44000,undefined
Mazette!,PiNG-CAPTL,11 rue Haute  72 440 Saint-Michel de Chavaignes,0243351972,https://mazette.bee.wf,Professionnels – Citoyens,T-O-D,3-9-10-17-19,Mazette! est un ancien dancing-bar de bourg  et un atelier de constructions diverses - lieu de résidence depuis 18 ans  C'est un lieu qui en passe d'etre revendu à l'association des usager.e.s  et ainsi qui passe de la proriété privée à la propriété d'usage,,Association,NON,72,En activité,48.016749,0.574105,11 Rue Haute,11 Rue Haute 72440 Saint-Michel-de-Chavaignes,Saint-Michel-de-Chavaignes,72440,undefined
Site des Biscottes,PiNG-CAPTL-FTL,19 avenue du Moulin Marcille  49130  Les Ponts de Cé,02 53 20 31 96,-,Professionnels – Citoyens,O-D-C,7-8-12-13-14,Le Site des Biscottes est un Tiers Lieu dédié à l'entreprenariat solidaire et à l'économie circulaire. Il abrite plusieurs structures associatives dont:  - La Ressourcerie des Biscottes (https://ressourceriedesbiscottes.fr/)  - L'Etabli - banque d'outils  atelier partagés et partage de savoirs faire (http://www.letabli.org/)  - Fabrik Café - atelier occupationnel pour réfugiés et sans papiers (https://www.fabrikcafe.fr/)  - Le CIEN - chantier d'insertion espaces verts  - L'atelier Fée - coiffeuse solidaire  - ATADEM - gestion des tutelles (http://atadem.fr/),https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/biscottes.jpg,Autre,NON,49,En activité,47.437211,-0.504642,19 Avenue du Moulin Marcille,19 Avenue du Moulin Marcille 49130 Les Ponts-de-Cé,Les Ponts-de-Cé,49130,undefined
La Station,PiNG-CAPTL-FTL,19 rue de normandie  53500 Saint-Denis-de-Gastines,0243088448,https://www.aufoindelarue.com,Professionnels – Citoyens,O-D,4-9-12-13-17,Située dans un ancien garage agricole au coeur du bourg de Saint-denis-de-gastines  l'association va développer des ateliers de construction de ses scénographies  mutualisera des espaces d’ateliers avec des entrepreneurs  artisans ou scénographes  accueil de compagnies artistiques en résidences  développement d'actions de médiation  une outilthèque et matériauthèque  ressourcerie de matériels  …,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/lastation-foindelarue.JPG,Association,NON,53,En projet,48.343451,-0.858071,19 Rue de Normandie,19 Rue de Normandie 53500 Saint-Denis-de-Gastines,Saint-Denis-de-Gastines,53500,undefined
Tiers-Lieu Numérique - FACE Vendée,PiNG,106 RUE DU GENERAL GUERIN 85000 LA ROCHE SUR YON,02 51 98 55 13,https://fr-fr.facebook.com/facevendee/,Professionnels – Citoyens,D,1-17,Le Tiers-Lieu Numérique de FACE Vendée regroupe divers services : un relais postal  un espace France Services  des ordinateurs en libre accès  et des ateliers numériques.  Ce tiers-lieu s'inscrit dans une démarche de lutte contre la fracture numérique.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/tl_numm_FACE.jpeg,Association,NON,85,En activité,46.660948,-1.404692,106 Rue du général guérin,106 Rue du général guérin 85000 La Roche-sur-Yon,La Roche-sur-Yon,85000,undefined
WORK IN PORNIC - WIP,FTL,2 rue Georges Charpak  Parc d'activités du Val Saint-Martin 44210 PORNIC,,https://www.workinpornic.fr/,Professionnels,T,,Tiers-lieu économique  le Work In Pornic – WIP regroupe sur 1 700 m² des espaces de travail modulables : coworking  salles de réunions  pépinière d’entreprises  bureaux et plateaux tertiaires  services mutualisés). Le WIP  c’est un état d’esprit (collaboration  innovation)  c’est un lieu de convergence des réseaux et des compétences sur le territoire de Pornic agglo Pays de Retz  propice aux collaborations interentreprises. Maison des Entrepreneurs  c’est un lieu ressources. Vous y trouverez une offre d’accompagnement personnalisée et en proximité  pilotée par l’équipe Développement économique  avec son réseau de partenaires experts dans l’accompagnement des entreprises et sa communauté d’usagers aux multiples compétences (numérique  communication  marketing  rh  droit social  etc).,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/WorkInPornic-WIP.jpg,Collectivité,NON,44,En activité,47.1222915,-2.0843095,2 Parc d’Activites la Liquiere,2 Parc d’Activites la Liquiere 34380 Saint-Martin-de-Londres,Saint-Martin-de-Londres,34380,undefined
LE TOUCHE @ TOUT  tiers lieu rural,PiNG-CAPTL-FTL,Les Lavandières  Livré  France  53400,0620368395,https://www.facebook.com/letoucheatout,Professionnels – Citoyens,T-O-D,1-2-3-4-6-7-9-12-16,Le Touche @ tout  est un tiers lieu rural. Tous sont les bienvenus à contribuer à l'évolution de l'association en respectant les valeurs: partage  convivialité  créativité et intergénérationnelles. Plusieurs propositions: - partage de savoirs: couture  informatique  jardinage  bricolage.... - programmation sociaux culturels: soirée jeux de société  concert... - espace de télétravail: visioconférence  conférence  séminaires...,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/toucheatout.jpg,Association,NON,53,En activité,47.881693,-0.981693,Rue des Lavandières,Rue des Lavandières 53400 Livré-la-Touche,Livré-la-Touche,53400,undefined
Les Ateliers de l'Ouvre-Boîtes,PiNG-CAPTL-FTL,67 rue Jean Jaurès 44600 Saint-Nazaire,0252321450,https://www.facebook.com/lesateliersdelouvreboites,Professionnels – Citoyens,T-O-D-C,4-5-6-7-12-14,Ouverts fin 2021 en plein centre-ville de Saint-Nazaire  les Ateliers de l’Ouvre-Boîtes sont un tiers-lieu coopératif qui propose une boutique d’artisanat local (savons  chapeaux  chocolats  illustrations  bijoux…)  un espace bien-être (réflexologie  sophrologie…) et de nombreux ateliers collectifs créatifs (pochoirs  relooking de meubles  poterie  aquarelle…). Entièrement géré par des entrepreneur·es  les Ateliers de l’Ouvre-Boîtes sont un lieu partagé  ouvert sur le quartier.,,SCIC ou SCOP,NON,44,En activité,47.279856,-2.213598,67 Rue Jean Jaurès,67 Rue Jean Jaurès 44600 Saint-Nazaire,Saint-Nazaire,44600,undefined
